pX_ptconecoreTrackPtrCorrection,p_d0,p_etcone20,pX_MultiLepton,p_sigmad0,p_TRTPID,p_numberOfInnermostPixelHits,p_ptPU30,p_deltaEta1,p_Rhad,p_Truth_isElectron
41321.6,0.006,1.03,0,0.013,-0.016,1,0.0,0.05,0.87,0
10415.17,0.019,1.19,0,0.02,-0.032,1,0.0,-0.059,0.53,0
32902.01,-0.044,0.48,0,0.021,-0.096,1,4.6e-06,0.0039,0.22,0
28941.24,-0.011,0.064,1,0.024,0.0,1,0.058,-0.00024,0.01,1
12175.33,3.02,0.91,0,0.092,0.43,0,2.6e-14,0.0048,0.1,1
21900.66,-0.0073,-0.017,1,0.012,-0.04,1,0.61,0.00023,-0.019,1
26698.36,0.001,0.051,0,0.015,-0.075,1,0.0,-0.00041,0.017,1
25325.93,-0.027,1.68,0,0.053,-0.011,1,0.00071,0.028,0.25,0
119553.97,-0.04,0.46,0,0.045,0.0,1,1.9e-05,-0.029,0.26,0
79472.64,-0.014,1.29,0,0.012,0.051,1,4.6e-06,-0.00099,1.22,0
63497.04,0.27,3.74,0,0.16,0.23,0,0.0,0.0028,1.11,1
44255.28,0.017,0.91,0,0.015,0.012,1,9.9e-05,0.0041,0.041,0
21387.48,-0.0037,1.4,0,0.017,0.0,1,0.0,0.0057,0.67,0
36171.94,1.55,3.49,0,0.05,-0.23,0,2.1e-23,0.00078,1.42,0
30173.06,0.0048,3.93,0,0.017,-0.16,1,1e-05,-0.05,2.78,0
53358.39,-0.013,2.15,0,0.014,-0.16,1,1.2e-05,0.058,1.19,0
22265.51,0.021,0.19,0,0.015,0.31,1,0.56,0.07,0.0016,0
33422.06,-0.023,0.96,0,0.017,-0.04,1,1.9e-05,-0.026,0.037,0
42434.46,-0.0043,1.49,0,0.014,-0.05,1,6.2e-05,0.03,0.44,0
32359.46,0.0059,1.02,0,0.016,-0.04,1,0.0,0.002,0.35,0
22594.97,1.18,1.48,0,0.15,0.31,0,0.0,0.0025,0.61,1
9135.89,-0.0086,1.06,0,0.02,0.043,1,0.0,-0.013,0.61,0
25313.79,0.028,1.16,0,0.019,-0.2,1,2.8e-05,-0.015,0.37,0
27634.3,0.049,0.1,1,0.027,0.47,1,0.0,-0.00074,0.075,1
20846.48,-0.0016,1.29,0,0.01,0.026,2,1e-05,-0.039,1.09,0
30368.47,-0.0082,0.14,1,0.013,0.17,1,4.36,0.0012,0.019,1
31096.38,0.0086,1.15,0,0.011,-0.14,1,0.0,0.0038,0.51,0
52998.25,-0.0043,0.72,0,0.0088,0.11,2,0.04,-0.014,0.32,0
59168.44,-0.032,0.92,0,0.011,-0.1,1,0.0,0.0017,0.76,0
4282.2,0.017,1.56,0,0.024,-0.15,2,0.0,-0.014,0.85,0
2859.85,-0.019,0.5,0,0.038,-0.21,1,6.4e-05,-0.058,0.0042,0
75220.03,0.027,0.8,0,0.011,0.0,1,5.1e-06,-0.014,0.4,0
2401.42,0.032,0.44,0,0.065,0.36,1,0.00022,0.028,0.036,1
0.0,0.026,0.017,1,0.013,0.4,1,4.9e-05,0.00019,-0.0072,1
21086.4,0.018,0.25,0,0.016,-0.13,1,0.0,0.0065,0.17,0
29519.82,0.077,-0.00015,1,0.023,-0.024,1,7.2e-07,-0.00026,-0.0013,1
24084.87,0.14,1.06,0,0.015,-0.12,1,2.7e-23,0.009,0.53,0
34761.44,-0.1,0.78,0,0.019,0.45,1,2.5e-05,0.0015,0.21,1
22516.32,0.011,0.75,0,0.039,0.48,1,5.3e-05,0.041,0.1,0
30319.51,-0.021,0.58,0,0.016,-0.24,1,0.0,-0.025,0.066,0
8913.83,0.06,0.084,0,0.035,0.0,1,0.52,-0.00059,0.00031,1
44033.39,0.004,0.41,0,0.015,-0.021,1,6e-06,-0.0084,0.22,0
3308.25,0.018,1.64,0,0.035,0.0077,1,0.00059,0.087,0.18,0
24526.83,-0.0087,0.9,0,0.023,0.12,2,0.00016,0.025,0.13,0
22181.67,0.046,0.2,0,0.026,-0.14,1,1.3e-05,-0.01,0.061,0
5348.37,-0.039,0.97,0,0.029,-0.19,1,0.0,0.028,0.021,0
15130.3,0.0053,0.43,0,0.014,0.098,1,0.0,-0.0087,0.015,0
38907.03,-0.0022,0.022,1,0.0093,0.072,2,0.0,0.0002,-0.0076,1
39135.17,-0.0062,0.078,1,0.0092,0.31,1,0.0,0.0017,0.0032,1
32776.12,0.0042,0.43,0,0.013,0.025,1,0.0,0.0027,0.16,0
0.0,1.97,0.13,0,0.27,0.0,0,0.0,-0.012,0.0065,0
27458.34,0.023,0.69,0,0.019,-0.32,1,1.1e-05,-0.0035,0.29,0
2895.99,0.43,1.23,0,0.27,0.15,0,1.3e-13,-0.03,0.36,1
46666.96,-0.012,0.039,1,0.0092,-0.019,1,0.0,-0.00037,-0.0014,1
25594.66,0.025,0.0068,0,0.038,0.059,1,1.55,-0.00048,-0.0067,1
42225.45,0.0051,1.16,0,0.013,-0.11,1,0.0,-0.0095,0.029,0
74695.67,-0.0079,0.035,1,0.01,0.06,1,0.0,0.0003,-3.1e-05,1
32868.59,0.017,1.51,0,0.015,-0.03,1,0.0,-0.017,0.54,0
33379.36,0.0018,1.07,0,0.037,0.0,1,8.1e-05,0.0011,0.54,0
29130.88,-0.016,0.67,0,0.016,-0.21,2,0.0,0.048,0.2,0
8576.64,2.52,2.46,0,0.1,-0.096,1,2.9e-13,-0.09,0.63,0
1080.41,3.33,0.79,0,0.15,0.34,1,0.0,-0.055,0.1,1
28173.72,-0.96,1.92,0,0.05,-0.24,0,0.0,-0.0012,0.58,0
35567.56,-0.0047,0.56,0,0.016,-0.14,1,0.0,-0.054,0.37,0
19599.42,-0.0067,0.72,0,0.013,-0.086,1,0.0,-0.018,0.27,0
36436.95,0.0097,0.11,1,0.011,0.1,1,0.56,-0.0012,0.0051,1
48680.38,-0.14,1.13,0,0.07,0.38,0,1.1e-13,0.00024,0.37,1
0.0,0.17,0.2,0,0.065,0.018,0,4.8e-05,-0.026,0.0067,0
18188.47,0.014,0.37,0,0.015,-0.07,1,4.7e-05,0.0035,0.091,0
38979.92,-0.0045,0.25,0,0.0098,0.13,2,0.0,-0.024,0.33,0
3928.16,1.32,0.061,0,0.11,-0.096,0,0.0,-0.016,-0.014,1
5258.5,-0.027,0.19,0,0.031,0.02,1,0.0,0.05,-0.0088,0
49527.19,-0.017,0.28,0,0.016,-0.12,1,1.1e-06,-0.024,0.23,0
75228.88,-0.0064,2.81,0,0.013,-0.13,1,4.2e-06,0.067,1.71,0
38266.87,0.021,0.67,0,0.02,0.43,0,3.1e-06,-0.024,0.32,0
40291.29,-0.026,0.071,1,0.012,0.94,1,0.14,0.00011,-0.0085,1
11572.12,0.015,0.73,0,0.027,-0.029,2,6.5e-06,-0.047,0.43,0
37091.2,0.0069,0.069,1,0.012,0.87,1,0.17,2.3e-05,0.011,1
58425.16,-0.0058,1.7,0,0.012,-0.11,1,0.0,0.0028,0.93,0
54755.21,-0.054,0.65,0,0.016,-0.22,1,5.7e-06,-0.0068,0.36,0
19246.09,-0.0085,0.048,1,0.018,0.13,1,0.0,-0.00064,-0.023,1
99072.27,0.054,0.51,0,0.011,-0.19,1,0.0,-0.022,0.4,0
44785.49,-0.005,0.00039,1,0.012,0.12,1,0.089,0.00076,-0.0029,1
35036.4,-0.013,0.75,0,0.044,0.0,1,9.4e-05,-0.043,0.42,0
6697.17,0.02,2.47,0,0.03,0.0024,1,0.017,-0.01,0.097,0
32138.05,-0.0035,0.6,0,0.023,0.047,1,0.00011,0.03,0.63,0
49083.39,0.0016,0.78,0,0.015,-0.27,1,0.0,-0.0024,0.42,0
34909.84,-0.02,1.33,0,0.029,0.0,1,6.2e-23,0.13,0.37,0
22447.84,-0.0067,0.3,0,0.021,0.23,1,4.6e-05,-0.049,0.034,0
2498.31,-0.0032,1.49,0,0.036,0.044,1,1.5e-05,-0.0035,0.034,0
43107.85,0.026,0.57,0,0.009,0.24,1,2.2e-05,0.0045,0.23,0
18071.97,0.0062,0.29,0,0.013,-0.089,1,0.0,-0.072,0.013,0
13369.08,-0.041,-0.055,1,0.032,0.0,2,0.045,0.0011,0.0074,1
6032.56,-0.013,0.26,0,0.025,0.075,1,1.6e-05,0.009,0.079,0
3038.11,-0.086,0.28,1,0.075,0.089,1,8.58,0.00097,0.0075,1
0.0,-0.24,0.64,0,0.047,0.0081,1,2.1e-11,-0.015,0.24,0
57211.26,-0.0068,0.67,0,0.0098,-0.1,1,0.0,0.0028,0.23,0
6910.91,0.05,0.81,0,0.045,0.0,1,0.0,0.08,0.47,0
15142.54,0.0066,0.054,0,0.018,0.15,1,0.0,0.0086,-0.0098,1
7163.14,1.23,0.79,0,0.072,-0.12,1,2e-12,0.022,0.071,0
0.0,6.3,-0.35,0,0.44,0.033,0,1.1e-20,0.026,0.0011,0
0.0,-5.92,1.31,0,0.23,0.0,1,0.0,0.024,0.28,0
38551.42,0.0051,0.11,0,0.015,0.0,1,0.0,0.00098,0.0062,1
13303.73,-0.02,1.04,0,0.014,-0.042,1,0.0,-0.0027,0.68,0
2413.47,6.02,0.95,0,0.4,0.47,0,7.5e-13,-0.01,0.034,1
20131.3,-0.093,0.75,0,0.021,0.0096,1,0.00046,-0.02,0.084,0
0.0,-0.13,0.37,0,0.062,0.14,0,3.7e-05,0.001,0.0055,1
19894.15,-0.00025,0.35,0,0.015,-0.051,1,0.0,-0.01,0.24,0
12744.35,0.0064,3.99,0,0.019,0.11,1,0.00014,-0.036,0.054,0
22650.62,0.6,1.03,0,0.23,0.1,0,2.3e-20,0.00092,1.37,0
27818.9,-0.13,0.38,0,0.023,-0.1,1,1.6e-21,-0.026,-0.0064,0
38137.25,0.016,0.12,1,0.014,0.0,1,0.038,-0.00059,-0.016,1
48958.36,0.0051,1.37,0,0.01,-0.26,1,0.0,-0.054,1.0,0
61580.28,0.0062,1.45,0,0.013,0.031,1,0.0,0.0074,1.28,0
12582.81,-0.0068,0.21,0,0.029,0.11,1,0.00011,-0.063,-0.0026,0
56079.71,-0.047,1.16,0,0.019,-0.056,1,0.0,-0.032,0.73,0
39951.5,0.026,0.76,0,0.037,0.0,1,0.0,0.033,0.26,0
12463.12,-0.047,-0.016,1,0.063,0.0,1,2.52,-0.0017,-0.03,1
3111.71,-0.0058,0.71,0,0.027,-0.061,1,1.5e-05,-0.00048,0.19,0
10778.01,-0.075,0.69,0,0.025,0.013,1,0.00013,0.026,0.23,0
61498.37,0.021,1.13,0,0.011,0.29,1,0.0,0.038,0.62,0
29182.12,0.00052,0.29,0,0.015,-0.26,1,2.7e-05,0.036,0.077,0
23038.87,0.051,0.45,0,0.043,0.0,0,1.8e-05,0.0038,0.039,1
9089.9,-0.015,1.58,0,0.023,-0.053,1,5.3e-05,0.087,0.27,0
12790.92,-0.028,0.68,0,0.03,0.0,1,0.0,0.027,0.34,0
9090.41,-2.7,1.2,0,0.12,-0.02,1,3.4e-14,-0.01,0.18,0
13779.49,-0.037,1.38,0,0.013,-0.2,2,5.1e-05,-0.036,0.18,0
67328.8,-0.031,1.22,0,0.011,0.019,1,8.2e-05,-0.014,0.62,0
21560.87,-0.017,0.14,1,0.017,0.24,1,3.18,0.0017,0.045,1
40750.75,0.0037,1.25,0,0.01,0.18,1,1.2e-06,0.012,0.87,0
14032.65,0.025,1.27,0,0.021,0.11,1,0.0,-0.026,0.47,0
51613.11,-0.017,1.2,0,0.014,0.0,1,4e-07,-0.01,0.71,0
26912.63,-0.0081,1.21,0,0.018,-0.098,1,0.0,-3.3e-05,0.92,0
48301.82,-0.016,0.016,1,0.0084,-0.084,1,0.4,-4.5e-05,0.0089,1
27501.95,-0.064,0.61,0,0.022,0.42,1,1.2e-05,0.0037,0.14,1
13583.88,0.0069,0.77,0,0.021,0.025,1,0.0,-0.01,0.69,0
28578.21,0.019,0.065,1,0.011,0.28,2,2.16,-0.00057,0.0064,1
14655.88,0.023,1.48,0,0.051,0.17,1,7.2e-05,0.03,1.01,0
15297.18,0.012,0.55,0,0.015,0.058,1,0.0,0.0055,0.31,0
80437.26,-0.018,4.01,0,0.019,0.032,1,0.00017,-0.06,2.24,0
36096.43,-0.017,1.66,0,0.011,-0.12,1,0.00021,-0.014,1.3,0
32174.14,0.0048,1.44,0,0.011,0.26,1,3.6e-06,0.019,1.34,0
2195.59,0.098,0.46,0,0.054,0.022,1,0.00028,-0.073,0.17,0
24367.69,0.96,0.34,0,0.38,0.089,0,3.4e-13,0.00091,0.0089,0
21155.19,0.83,0.75,0,0.046,0.0,1,0.0,0.0022,0.36,1
0.0,-0.4,0.19,0,0.29,-0.14,0,0.0,-0.0051,0.062,1
16327.13,0.0016,0.39,0,0.036,-0.19,1,9.7e-06,-0.05,0.26,0
49037.57,0.036,2.09,0,0.077,0.0029,1,0.0026,0.011,1.05,0
29053.77,0.034,1.37,0,0.02,0.015,1,0.0004,-0.032,0.6,0
30774.25,-0.35,0.78,0,0.016,0.0,1,8.3e-22,-0.0057,0.4,0
7876.15,-0.011,0.66,0,0.042,0.0,1,9.6e-05,0.044,0.16,0
26942.81,0.26,0.97,0,0.025,-0.24,1,2.2e-12,-0.0083,0.34,0
4623.79,0.021,0.39,0,0.021,0.084,2,0.0,0.011,0.083,0
31323.79,-0.04,0.044,1,0.038,0.34,1,0.18,0.00019,0.00066,1
34467.56,-0.0072,1.11,0,0.015,-0.072,1,0.00017,-0.033,0.65,0
18046.56,-0.03,1.33,0,0.016,-0.18,1,6.9e-05,0.021,0.14,0
36049.77,-0.012,1.07,0,0.013,0.21,1,0.0002,0.062,0.0026,0
21688.27,-0.49,0.79,0,0.023,-0.2,1,8.7e-13,0.0091,0.29,0
29080.15,-0.0013,0.048,1,0.013,-0.081,1,0.046,-0.0019,-0.015,1
20110.73,0.018,0.032,1,0.014,0.03,1,0.0,-0.00051,0.00076,1
51244.04,0.011,0.93,0,0.014,-0.066,1,4e-06,-0.021,0.17,0
35971.85,0.027,1.53,0,0.015,0.12,1,6.5e-06,0.041,1.4,0
5548.68,0.0049,1.53,0,0.04,-0.42,1,0.00047,-0.05,0.32,0
23914.97,0.031,0.59,0,0.015,-0.035,1,5.1e-05,-0.039,0.054,0
45846.07,-0.0062,1.0,0,0.024,0.024,1,3e-05,-0.015,0.6,0
30014.62,0.0099,0.065,1,0.019,0.32,1,0.15,0.001,0.011,1
23724.97,0.013,1.13,0,0.017,-0.037,1,0.0,-0.018,0.94,0
24122.71,0.018,1.77,0,0.018,-0.18,2,6.9e-06,0.032,0.28,0
2909.69,0.051,2.16,0,0.29,0.0,0,3.1e-14,-0.097,0.33,1
86584.66,0.016,0.63,0,0.014,-0.22,1,2.8e-06,0.0092,0.25,0
59680.99,0.013,1.43,0,0.021,0.37,1,5.9e-06,0.0073,0.66,0
0.0,-0.01,0.68,0,0.045,-0.16,1,0.00015,0.011,0.5,0
27322.58,0.064,0.99,0,0.038,0.23,1,0.0,0.0024,0.061,0
73605.32,-0.0094,1.69,0,0.015,0.02,2,0.0,-0.021,1.7,0
73551.6,0.0047,0.96,0,0.014,-0.056,1,5.8e-05,-0.023,0.61,0
0.0,-4.55,0.49,0,0.16,0.02,0,1.3e-12,0.046,0.39,0
49682.12,0.0057,2.38,0,0.011,-0.13,1,3.2e-05,0.0024,1.86,0
0.0,0.19,0.2,0,0.15,0.32,0,0.0,-0.0012,-0.0052,0
54237.3,-0.0033,0.43,0,0.01,-0.055,1,0.0,-0.0031,0.2,0
52916.39,0.011,0.34,0,0.015,0.016,1,7.4e-06,-0.042,0.014,0
8557.58,5.9,1.38,0,0.52,0.0,1,2e-11,0.039,0.45,0
28051.91,0.0061,0.54,0,0.015,0.16,1,2.7e-05,0.0011,0.018,0
37362.41,-0.00062,0.71,0,0.015,-0.042,1,0.00022,-0.0047,0.12,0
8573.62,0.12,0.063,1,0.045,0.4,1,3.1e-05,7.5e-05,0.0013,1
32739.32,0.013,1.09,0,0.021,0.037,1,0.0,-0.087,0.12,0
28833.39,-0.003,1.66,0,0.017,-0.14,1,3.7e-06,0.039,0.14,0
8404.93,-0.68,1.39,0,0.072,-0.057,0,1.9e-13,0.067,0.087,0
35583.97,1.2e-05,1.5,0,0.013,-0.029,1,2.2e-05,0.0013,0.24,0
49458.44,0.02,1.17,0,0.0095,-0.32,2,0.0,-0.028,0.47,0
41644.11,-0.0067,0.1,1,0.012,0.35,1,0.34,-0.00076,0.005,1
39868.06,-0.008,1.42,0,0.01,-0.0054,1,0.0,0.095,0.78,0
0.0,0.2,0.71,0,0.16,0.04,1,5.5e-05,-0.06,0.26,0
10422.58,0.004,0.062,1,0.031,0.0,1,0.0,-0.0045,0.015,1
1659.38,0.0029,0.59,0,0.016,0.28,1,3.1e-13,-0.07,0.4,0
18239.47,0.013,0.04,1,0.021,0.45,1,0.43,2.2e-05,-0.039,1
22000.72,0.81,0.47,0,0.33,0.0,0,0.0,0.03,0.17,1
51833.73,-0.023,3.96,0,0.051,0.0,1,1.9e-05,0.016,2.47,0
40055.34,-0.0099,0.073,0,0.014,0.72,1,1.69,0.0055,0.008,1
31615.02,0.07,0.23,0,0.02,0.064,1,3e-05,0.065,-0.0011,0
49991.86,0.016,0.62,0,0.015,-0.12,1,0.0,-0.0093,0.14,0
30218.02,-0.04,1.47,0,0.043,-0.00032,1,2.7e-05,0.056,0.33,0
12283.56,0.1,5.04,0,0.067,0.26,0,1.5e-12,-0.00089,1.02,1
45304.56,-0.0051,0.64,0,0.019,0.055,1,0.0,-0.023,0.3,0
18745.47,-0.0047,0.039,1,0.019,0.41,1,0.64,-0.00016,0.039,1
23479.13,0.083,0.59,0,0.14,0.2,0,7.1e-15,-0.063,0.093,1
16896.92,-0.0011,0.97,0,0.023,-0.15,1,8.8e-05,0.021,0.24,0
42705.34,0.00083,0.062,1,0.012,0.49,1,0.46,0.00089,-0.0079,1
21263.86,-0.62,0.86,0,0.013,-0.17,1,2.4e-13,-0.0094,0.19,0
62416.41,-0.0014,-0.024,1,0.011,-0.18,1,0.058,5.4e-05,-0.024,1
25707.37,-0.0056,0.11,1,0.024,0.46,1,0.075,0.00022,0.0096,1
50528.77,-0.008,1.33,0,0.015,0.0062,1,1.9e-06,-0.016,0.51,0
8969.62,-0.038,0.95,0,0.04,-0.023,1,0.0002,-0.057,0.23,0
0.0,1.1,-0.0031,0,0.2,0.0,1,0.0,-0.047,-0.013,0
4917.51,-3.2,0.65,0,0.041,-0.021,0,5.2e-14,-0.1,-0.0049,0
20779.87,-0.049,0.47,0,0.042,0.12,1,0.0,0.012,0.16,0
7244.66,0.19,0.32,0,0.093,-0.015,0,1.6e-10,-0.012,0.034,1
53620.51,0.034,0.98,0,0.017,-0.023,1,1.6e-06,-0.05,0.58,0
1942.46,0.64,1.58,0,0.18,-0.12,1,0.0,-0.037,0.68,0
39406.11,0.0014,0.12,0,0.014,0.25,1,0.21,-9.6e-05,0.049,1
7761.03,-0.0052,0.29,0,0.018,0.12,2,4.07,-0.02,0.0019,1
33557.26,-0.00072,2.18,0,0.011,-0.09,1,3.1e-05,-0.0075,0.5,0
50650.21,0.035,0.67,0,0.0094,-0.17,1,0.0,-0.04,0.38,0
25578.13,-0.0091,0.88,0,0.019,-0.34,1,5.1e-05,0.024,0.65,0
25461.37,0.0041,1.62,0,0.024,-0.14,1,0.00022,-0.046,0.22,0
69858.28,0.0078,1.42,0,0.025,0.0,2,8e-05,-0.025,0.8,0
6415.69,-0.02,0.096,0,0.023,0.00036,1,0.00032,-0.0049,0.013,0
26166.57,-0.034,0.99,0,0.02,-0.21,1,0.0,-0.02,0.17,0
9412.39,-0.016,1.11,0,0.022,0.077,1,2.3e-05,-0.038,0.44,0
8232.19,0.077,0.43,0,0.034,0.0,1,1.1e-05,-0.053,0.22,0
55941.9,0.013,1.72,0,0.011,-0.2,1,1.2e-05,-0.024,0.83,0
26124.74,0.012,0.74,0,0.018,0.047,1,9.7e-05,0.027,0.16,0
60209.57,-0.0018,1.77,0,0.0098,0.18,1,1.1e-05,0.0034,0.85,0
19099.42,-0.0051,0.6,0,0.012,0.07,1,1.4e-05,-0.0028,0.061,0
9597.68,0.0095,0.32,0,0.039,-0.15,1,6.6e-06,-0.023,0.057,0
26857.55,-0.016,0.87,0,0.023,-0.11,1,5.6e-05,-0.077,0.45,0
28220.65,0.019,0.54,1,0.053,0.21,1,0.00045,0.016,0.022,0
18423.67,0.00026,-0.013,0,0.016,0.24,1,0.0,0.0012,0.029,1
12308.68,-0.017,0.5,0,0.055,0.26,1,0.0,0.029,0.24,0
58364.89,-0.015,0.067,1,0.013,0.0,1,0.0088,-6.6e-05,0.003,1
20314.8,-0.042,0.76,0,0.015,0.11,1,1.2e-05,-0.015,0.018,0
16518.92,0.027,0.68,0,0.018,-0.21,2,0.0,0.064,0.41,0
34808.9,0.0075,0.45,0,0.018,-0.0044,1,0.0,-0.023,0.65,0
11347.08,-0.012,1.91,0,0.03,-0.41,1,0.0,-0.085,0.95,0
38136.73,-0.0075,1.78,0,0.013,-0.31,1,6.1e-06,-0.019,0.58,0
29161.77,0.00048,2.04,0,0.022,-0.14,1,6.5e-06,-0.041,1.31,0
30548.54,0.00027,0.87,0,0.012,0.21,1,0.0,0.046,0.23,0
14412.38,-0.019,2.51,0,0.024,-0.36,2,0.0,-0.026,1.75,0
52611.17,-0.01,2.61,0,0.015,-0.012,1,0.0,0.095,2.53,0
62220.15,-0.016,0.36,0,0.014,-0.37,1,0.0,-0.00064,0.045,0
24601.73,-9.2e-05,0.48,0,0.019,-0.026,1,0.0,-0.055,0.14,0
5708.09,-0.019,0.013,0,0.03,-0.05,2,2.1e-05,0.072,-0.0039,0
1081.74,-0.4,0.36,0,0.27,0.0,1,0.0016,0.0094,0.22,0
91004.38,0.017,3.34,0,0.014,0.042,2,2e-05,-0.017,2.65,0
46606.02,-0.075,1.38,0,0.015,-0.37,0,0.0,-0.011,0.82,0
110238.05,0.0026,1.37,0,0.013,0.051,1,6e-06,0.015,1.03,0
53500.51,0.019,0.45,0,0.011,-0.0011,1,0.0,-0.00069,0.48,0
20609.1,0.013,0.38,0,0.013,0.27,1,0.0,0.015,0.32,0
10738.19,0.008,1.14,0,0.031,-0.054,1,0.00029,-0.077,0.18,0
50192.3,0.0078,1.15,0,0.015,0.0,1,8.2e-07,-0.0011,0.54,0
20004.58,-0.008,0.69,0,0.018,0.0,1,6.9e-06,0.012,0.46,0
16332.86,0.23,1.56,0,0.065,0.0,1,0.00014,0.099,0.33,0
36132.41,-0.015,0.71,0,0.014,0.024,1,0.0,-0.025,0.25,0
2522.14,0.066,2.51,0,0.033,-0.013,1,0.0,0.035,0.1,0
42322.55,0.017,1.19,0,0.015,-0.14,1,0.0,0.019,0.4,0
29442.71,0.13,0.49,0,0.021,0.0,1,2e-06,0.031,0.14,0
12511.98,0.034,0.72,0,0.013,-0.14,1,0.0,-0.01,0.038,0
30485.87,0.003,1.13,0,0.053,-0.073,1,0.00014,0.024,0.99,0
84220.27,-0.038,1.25,0,0.029,0.0,1,1.3e-05,0.021,0.54,0
56754.18,-0.027,0.51,0,0.018,0.0,1,1.4e-06,-0.01,0.31,0
22823.31,-0.08,0.7,0,0.026,0.036,1,0.0,-0.02,0.26,0
23369.58,-0.02,0.77,0,0.015,-0.12,1,0.0,0.017,0.42,0
64984.57,0.011,1.43,0,0.02,-0.29,0,0.0,-0.0075,0.34,0
22045.25,0.73,1.12,0,0.11,0.012,0,0.0,0.0046,0.098,1
40701.01,0.0099,-0.051,1,0.012,0.63,1,0.0,6.7e-05,-0.015,1
48663.09,-0.014,1.61,0,0.015,-0.17,1,0.0,-0.03,1.56,0
51068.14,0.02,1.94,0,0.021,0.059,1,8.4e-06,0.1,0.58,0
20212.28,-0.41,1.17,0,0.025,-0.18,1,2.9e-21,0.038,0.034,0
51842.73,-0.011,1.0,0,0.013,0.28,1,2.3e-05,0.0076,0.12,0
68086.15,-0.0017,1.45,0,0.017,0.3,1,2.6e-06,-0.0034,1.12,0
18016.63,-0.0093,0.27,1,0.024,-0.15,1,9.5e-05,0.0026,-0.0039,0
3060.41,-1.75,0.43,0,0.26,-0.0053,0,1.4e-14,-0.017,0.027,1
66164.59,-0.0074,0.18,0,0.011,-0.0092,1,0.0,0.032,0.013,0
45118.86,0.0047,2.13,0,0.01,-0.28,1,0.00036,-0.0057,0.8,0
21748.37,0.004,0.43,0,0.012,-0.2,1,0.0,0.052,0.032,0
9380.85,-0.037,0.86,0,0.085,0.0,1,0.00026,0.081,0.48,0
20926.04,0.0037,1.6,0,0.012,-0.052,1,1e-05,0.029,1.24,0
20874.52,0.0046,0.2,0,0.019,0.0,1,0.0,0.039,0.13,0
11322.23,-0.0091,0.21,0,0.021,-0.33,1,0.0,0.085,0.14,0
0.0,-0.086,0.12,0,0.13,-0.0086,0,4.2e-05,-0.013,-0.025,1
16283.63,-0.03,-0.019,1,0.02,0.0,1,0.0,0.0012,-0.024,1
13173.37,-0.031,3.39,0,0.018,-0.067,1,7.4e-05,-0.041,0.65,0
34517.86,0.043,0.83,0,0.012,0.042,1,0.0,0.0067,0.3,0
62050.41,0.31,0.75,0,0.014,-0.0012,1,5.7e-14,0.038,0.4,0
36726.71,-0.0094,1.75,0,0.027,-0.017,1,0.00014,-0.041,0.59,0
14291.27,0.023,0.035,1,0.018,-0.099,1,0.0,0.0031,0.0029,1
43617.38,0.011,2.2,0,0.014,2.3,1,2.6e-06,0.032,1.74,0
0.0,-0.061,2.3,0,0.049,-0.055,1,0.00038,-0.0081,0.45,0
28547.45,-0.0055,0.52,0,0.015,0.056,1,1.2e-06,-0.023,0.58,0
80066.15,-0.0093,0.52,0,0.012,-0.083,1,4.1e-05,0.002,0.048,0
15263.92,0.0048,0.047,1,0.02,-0.14,2,0.09,6.6e-05,0.0014,1
33045.32,0.011,0.085,1,0.01,0.27,1,0.7,0.00011,-0.01,1
25328.55,0.00083,1.26,0,0.012,-0.08,1,3.9e-06,0.043,1.26,0
43669.41,-0.025,0.86,0,0.019,0.0,1,6.8e-06,0.0049,0.16,0
6498.25,0.034,0.75,0,0.024,0.042,1,7e-05,-0.021,0.0096,0
35284.88,0.031,-0.011,1,0.0088,0.17,1,0.0,-0.00012,-0.00017,1
4956.72,-0.13,1.62,0,0.039,-0.0062,1,1.5e-05,-0.058,-0.0057,0
20810.08,-0.0017,1.6,0,0.026,-0.2,1,0.00016,0.039,0.69,0
26024.55,0.0099,0.59,0,0.016,0.085,1,1.9e-06,0.02,0.26,0
29278.19,-0.016,0.51,0,0.013,-0.019,1,2.7e-05,-0.0017,0.023,0
16992.88,-0.052,1.02,0,0.023,0.023,1,2e-05,0.0023,0.32,0
41621.39,0.021,0.11,1,0.013,-0.018,1,0.0,0.0017,0.026,1
44874.98,-0.006,2.74,0,0.0088,0.11,1,0.0,0.049,1.84,0
7151.97,0.77,0.99,0,0.026,0.097,1,8e-14,-0.00019,0.45,0
28093.23,-0.015,0.016,0,0.016,0.27,1,0.0,0.00012,-0.00024,1
74375.54,0.023,2.93,0,0.013,0.075,1,9.9e-05,-0.046,0.65,0
55173.04,-0.016,1.3,0,0.012,-0.34,1,0.0,-0.077,0.69,0
40503.94,0.0033,1.61,0,0.014,-0.0071,2,4.3e-05,0.015,0.82,0
39779.48,0.015,0.17,0,0.027,0.054,1,3.4e-06,-0.016,0.051,0
51284.12,-0.079,2.0,0,0.03,-0.14,1,2.6e-05,-0.024,1.03,0
12364.25,0.021,0.51,0,0.012,-0.2,1,0.0,-0.054,0.24,0
17614.47,-0.037,0.17,1,0.012,0.069,1,0.0,-0.00064,0.0096,1
41801.84,0.036,1.58,0,0.025,0.0052,1,3.5e-05,0.096,0.58,0
33918.16,-0.00016,0.58,0,0.023,0.044,1,0.00023,-0.0082,0.021,0
